processed,target
timestamp failed at [MASK] go [MASK] [MASK] [MASK] [MASK] task [MASK] sc [MASK] dhcp check vm [MASK] vm ip address task path home worker workspace ansible windows number [MASK] it [MASK] ga [MASK] efi ansible [MASK] [MASK] validation common vm get [MASK] yml [MASK] fatal localhost [MASK] [MASK] to [MASK] [MASK] test vm ip address,targetvm
timestamp failed [MASK] play go [MASK] sanity dhcp timestamp task [MASK] [MASK] sanity dhcp [MASK] vm [MASK] vm ip address task path home [MASK] [MASK] ansible [MASK] number b it number [MASK] sata [MASK] ansible vsphere [MASK] [MASK] common vm [MASK] ip yml number [MASK] [MASK] failed failed to get vm [MASK] vm [MASK] [MASK],targetvm
timestamp [MASK] at play check [MASK] address [MASK] [MASK] check [MASK] [MASK] [MASK] vm [MASK] [MASK] ip address [MASK] path home worker workspace ansible windows number [MASK] it number ga ide efi [MASK] vsphere [MASK] validation common vm [MASK] ip yml [MASK] fatal [MASK] failed failed to get vm [MASK] vm ip [MASK],targetvm
timestamp failed at play mouse driver [MASK] tools timestamp [MASK] mouse driver [MASK] tools check vm test [MASK] ip [MASK] task path home [MASK] workspace [MASK] windows [MASK] [MASK] [MASK] number ga [MASK] efi [MASK] vsphere [MASK] validation common vm get ip yml number [MASK] [MASK] [MASK] [MASK] to [MASK] vm test vm ip [MASK],targetvm
timestamp failed at [MASK] win [MASK] complete [MASK] verify timestamp task win [MASK] [MASK] install verify check vm [MASK] vm [MASK] address [MASK] path [MASK] worker [MASK] ansible windows number [MASK] it number ga ide [MASK] ansible [MASK] gos validation [MASK] vm get ip yml number [MASK] localhost failed failed [MASK] [MASK] [MASK] test [MASK] ip address,targetvm
timestamp [MASK] at play [MASK] v hba device [MASK] timestamp [MASK] nvme v hba device ops check [MASK] [MASK] vm ip [MASK] task path home worker workspace ansible cycle windows number ansible [MASK] [MASK] validation [MASK] vm get ip [MASK] number [MASK] localhost [MASK] failed to [MASK] [MASK] [MASK] [MASK] [MASK] address,targetvm
timestamp failed [MASK] play win tools un install [MASK] [MASK] [MASK] [MASK] [MASK] un install verify check [MASK] [MASK] [MASK] [MASK] [MASK] path [MASK] worker workspace dw existing ansible [MASK] gos validation [MASK] utilities win check problem device yml number [MASK] localhost failed [MASK] no [MASK] were found [MASK] [MASK] system in output please check [MASK] problem devices,targetvm
timestamp [MASK] at play [MASK] tools complete install verify [MASK] [MASK] [MASK] tools complete [MASK] [MASK] [MASK] vm test [MASK] ip [MASK] [MASK] path home [MASK] workspace ansible windows [MASK] b it number [MASK] sata bios ansible vsphere [MASK] [MASK] [MASK] vm get ip yml number fatal localhost failed failed to [MASK] vm test vm [MASK] address,targetvm
timestamp failed at [MASK] [MASK] [MASK] driver timestamp task [MASK] [MASK] driver [MASK] inbox [MASK] [MASK] filename is valid task path home worker workspace [MASK] cycle oracle linux number [MASK] [MASK] vsphere [MASK] [MASK] linux check inbox [MASK] get inbox drivers yml number [MASK] localhost [MASK] vsock [MASK] builtin invalid inbox driver [MASK] [MASK] [MASK] and vsock is builtin,targetvm
timestamp failed at play win [MASK] [MASK] [MASK] [MASK] timestamp task [MASK] [MASK] [MASK] install verify check [MASK] test [MASK] ip address task path home worker workspace ansible cycle windows [MASK] [MASK] vsphere [MASK] validation common vm [MASK] ip yml number fatal localhost failed [MASK] to [MASK] [MASK] [MASK] [MASK] ip address,targetvm
[MASK] [MASK] [MASK] [MASK] [MASK] sc sanity dhcp timestamp task go sc sanity [MASK] customize [MASK] guest os task path [MASK] worker [MASK] ansible cycle [MASK] number ansible [MASK] gos [MASK] windows guest customization [MASK] [MASK] sc execution yml number fatal localhost failed customization [MASK] for detailed [MASK] [MASK] [MASK] waiting [MASK] customization result event timed out,targetvm
[MASK] failed at [MASK] network device ops [MASK] task [MASK] [MASK] [MASK] [MASK] network interface [MASK] [MASK] path [MASK] worker [MASK] ansible regression debian number x number ansible vsphere gos validation [MASK] [MASK] set network adapter [MASK] yml number [MASK] localhost [MASK] address failed when ip,targetvm
[MASK] failed [MASK] play vmxnet number [MASK] device ops [MASK] [MASK] [MASK] [MASK] network device ops get network [MASK] status task path home [MASK] [MASK] [MASK] regression [MASK] [MASK] x [MASK] ansible [MASK] gos validation linux utilities set network adapter status yml number [MASK] [MASK] ip address failed when ip,targetvm
timestamp failed at play network [MASK] ops timestamp [MASK] network device ops [MASK] [MASK] interface status task [MASK] home worker [MASK] [MASK] regression [MASK] [MASK] server iso [MASK] [MASK] gos validation [MASK] utilities set network adapter status yml number [MASK] [MASK] [MASK] address failed [MASK] ip,targetvm
[MASK] [MASK] [MASK] play network device ops timestamp task network device ops [MASK] network interface [MASK] task path [MASK] worker workspace ansible regression [MASK] [MASK] server ova ansible vsphere [MASK] [MASK] linux utilities set [MASK] adapter [MASK] yml [MASK] fatal localhost ip [MASK] failed [MASK] [MASK],targetvm
[MASK] [MASK] [MASK] [MASK] network device [MASK] [MASK] task network device [MASK] remove a network adapter [MASK] [MASK] test [MASK] [MASK] number task path home worker [MASK] ansible [MASK] [MASK] linux [MASK] x [MASK] [MASK] gos [MASK] [MASK] vm remove network adapter yml number http client http exception number [MASK] unavailable fatal localhost [MASK] module failure see stdout stderr for [MASK] exact error,targetvm
timestamp failed at play network [MASK] [MASK] timestamp task network [MASK] [MASK] [MASK] configure [MASK] [MASK] to test [MASK] linux number task [MASK] home worker workspace [MASK] regression rocky linux [MASK] x ansible vsphere [MASK] validation common vm configure network [MASK] yml number [MASK] client http exception [MASK] [MASK] unavailable [MASK] localhost failed [MASK] failure see [MASK] [MASK] [MASK] the exact error,targetvm
timestamp [MASK] at play network [MASK] ops timestamp task network device [MASK] assert [MASK] [MASK] interface is [MASK] task [MASK] home worker [MASK] ansible regression debian [MASK] [MASK] number ansible vsphere gos validation linux network [MASK] ops [MASK] status validate yml [MASK] [MASK] [MASK] failed [MASK] hot removing the new [MASK] adapter guest [MASK] [MASK] can detect [MASK],targetvm
timestamp failed at play vmxnet number network device [MASK] timestamp [MASK] vmxnet number network device ops [MASK] for network interface [MASK] [MASK] [MASK] path home worker [MASK] [MASK] [MASK] debian number x number [MASK] [MASK] gos [MASK] linux [MASK] [MASK] network adapter [MASK] [MASK] number [MASK] localhost ip [MASK] failed when ip,targetvm
