processed,target
[MASK] [MASK] [MASK] [MASK] [MASK] quiesce snapshot timestamp [MASK] check quiesce snapshot check vm [MASK] took is quiesced snapshot task path home [MASK] [MASK] [MASK] cycle windows number [MASK] vsphere gos [MASK] [MASK] vm take snapshot yml number [MASK] localhost [MASK] [MASK] quiesce [MASK] number quiesced status [MASK] [MASK] [MASK] message snapshot quiesce timestamp number quiesced status is false,targetvm
timestamp [MASK] [MASK] play go [MASK] cloud [MASK] dhcp timestamp task [MASK] [MASK] [MASK] [MASK] [MASK] get installed packages [MASK] ubuntu task [MASK] home worker workspace ansible [MASK] ubuntu [MASK] [MASK] [MASK] ansible vsphere gos validation linux utilities [MASK] un install [MASK] [MASK] number fatal localhost [MASK] [MASK] invalid incorrect [MASK] password [MASK] [MASK] number retries [MASK] prevent account lockout [MASK] permanently [MASK] ip address [MASK] to the list [MASK] known hosts root ip address permission denied public [MASK] [MASK] interactive error message invalid incorrect username password skipping remaining [MASK] retries [MASK] prevent [MASK] [MASK] warning [MASK] added [MASK] [MASK] ecdsa to the list of known hosts root [MASK] address [MASK] denied public [MASK] keyboard interactive,targetvm
timestamp failed [MASK] [MASK] [MASK] quiesce [MASK] timestamp task check [MASK] snapshot [MASK] [MASK] snapshot took is [MASK] [MASK] task path home worker workspace ansible cycle windows number ansible vsphere gos validation [MASK] vm take snapshot yml number [MASK] localhost failed [MASK] quiesce timestamp [MASK] [MASK] [MASK] is false [MASK] [MASK] snapshot [MASK] [MASK] [MASK] quiesced status is false,targetvm
timestamp [MASK] at play go [MASK] [MASK] init [MASK] timestamp task [MASK] sc cloud init dhcp get [MASK] packages on [MASK] task path home worker workspace [MASK] cycle [MASK] number server iso ansible [MASK] [MASK] [MASK] linux [MASK] install un install [MASK] yml [MASK] [MASK] localhost un [MASK] [MASK] incorrect username [MASK] skipping remaining number retries to [MASK] [MASK] lockout [MASK] permanently [MASK] [MASK] address ecdsa [MASK] [MASK] [MASK] of known [MASK] root ip address permission denied public key [MASK] [MASK] error [MASK] [MASK] incorrect username password skipping [MASK] [MASK] retries to prevent account [MASK] warning permanently added ip address ecdsa to [MASK] [MASK] of [MASK] hosts root ip address permission denied public key [MASK] [MASK],targetvm
[MASK] failed at play [MASK] quiesce snapshot [MASK] task check [MASK] [MASK] [MASK] vm [MASK] took is quiesced snapshot task path [MASK] [MASK] workspace ansible cycle [MASK] number ansible vsphere gos validation [MASK] vm take snapshot yml number fatal localhost failed [MASK] [MASK] timestamp [MASK] quiesced status [MASK] false error message [MASK] [MASK] timestamp number [MASK] [MASK] is [MASK],targetvm
timestamp failed [MASK] play go [MASK] [MASK] [MASK] dhcp timestamp [MASK] go sc cloud init dhcp [MASK] installed [MASK] on [MASK] task path home [MASK] workspace ansible cycle ubuntu number server iso [MASK] [MASK] [MASK] [MASK] linux utilities [MASK] [MASK] install [MASK] yml number [MASK] localhost [MASK] reachable invalid incorrect username [MASK] skipping remaining number retries to [MASK] [MASK] lockout [MASK] permanently added ip address ecdsa to the list [MASK] known hosts [MASK] ip [MASK] [MASK] denied [MASK] key keyboard interactive error [MASK] invalid [MASK] [MASK] password skipping remaining [MASK] retries to prevent [MASK] lockout [MASK] permanently [MASK] ip [MASK] ecdsa [MASK] the list of [MASK] hosts [MASK] ip address permission denied [MASK] key [MASK] interactive,targetvm
timestamp failed at play check quiesce [MASK] [MASK] [MASK] [MASK] quiesce snapshot [MASK] [MASK] [MASK] took is quiesced [MASK] task [MASK] home worker workspace ansible [MASK] windows [MASK] [MASK] vsphere gos validation [MASK] [MASK] take [MASK] [MASK] [MASK] fatal localhost failed snapshot quiesce timestamp number quiesced [MASK] [MASK] false error message snapshot [MASK] timestamp number quiesced status is false,targetvm
[MASK] failed [MASK] play go [MASK] cloud init dhcp timestamp task [MASK] sc cloud init dhcp get [MASK] [MASK] on ubuntu [MASK] [MASK] home worker workspace ansible cycle ubuntu number server [MASK] ansible vsphere gos validation linux [MASK] install un install [MASK] yml number [MASK] localhost un reachable [MASK] incorrect [MASK] [MASK] [MASK] remaining [MASK] retries to prevent account [MASK] [MASK] permanently [MASK] [MASK] address ecdsa to [MASK] list of [MASK] [MASK] root ip address [MASK] denied public key [MASK] [MASK] [MASK] message [MASK] incorrect [MASK] [MASK] skipping [MASK] number retries to [MASK] [MASK] lockout warning permanently added ip [MASK] ecdsa to the [MASK] of known [MASK] root [MASK] [MASK] permission denied public key keyboard [MASK],targetvm
timestamp failed at play [MASK] [MASK] [MASK] timestamp task check quiesce [MASK] check vm snapshot [MASK] is quiesced snapshot task path [MASK] worker workspace ansible [MASK] windows [MASK] [MASK] vsphere gos validation common [MASK] take snapshot yml number fatal [MASK] failed snapshot quiesce timestamp [MASK] [MASK] [MASK] [MASK] false [MASK] [MASK] [MASK] [MASK] timestamp number quiesced status is [MASK],targetvm
timestamp failed [MASK] [MASK] go [MASK] cloud init dhcp [MASK] task go sc [MASK] [MASK] [MASK] get installed [MASK] on ubuntu task path [MASK] worker workspace [MASK] cycle ubuntu number server iso [MASK] vsphere gos validation [MASK] utilities [MASK] [MASK] install package yml number [MASK] localhost un reachable [MASK] [MASK] [MASK] password [MASK] [MASK] number [MASK] to prevent account lockout warning [MASK] [MASK] ip [MASK] ecdsa to the [MASK] [MASK] known [MASK] root ip [MASK] permission denied public key keyboard interactive error [MASK] invalid [MASK] username [MASK] skipping [MASK] number retries [MASK] [MASK] [MASK] lockout warning permanently added ip [MASK] ecdsa to [MASK] list [MASK] known hosts root ip [MASK] [MASK] denied public key keyboard interactive,targetvm
